cCrayTbMqZM40aLipINa4g,550,-430,SurfaceProblem,Obstacle,61
SFmz-YEp3vbrMEuNhh206A,9461,-423,Obstacle,Obstacle,51
o1YKH3l1bjb_swTCIeuF_w,404,-693,CurbRamp,NoCurbRamp,67
PzKLPRWBFuASHjalf9__Sw,6386,-374,NoCurbRamp,Obstacle,51
2A6p50LemUj6YuJYRTcoOA,5069,-837,Obstacle,NoCurbRamp,52
LUc-zNs7mO2ahq797oH-zQ,8699,-748,CurbRamp,CurbRamp,50
hq4Tvo5tgQk8Se_8EV7ssQ,12150,-910,NoCurbRamp,NoCurbRamp,40
lN36mH7jt-ksHznZyegv_g,1879,-368,CurbRamp,Obstacle,54
EWazcRXx4rxAJN-uqRdT1g,5597,-441,Obstacle,Obstacle,64
tKPNvJGmw46eHvODFhtFbQ,2313,-430,Obstacle,CurbRamp,54
VLnYi6PCtn8Z4h0IkhtNJw,1785,-455,Obstacle,CurbRamp,57
UUiDDc1b4CUITVCmY2uTlQ,12584,-340,SurfaceProblem,Obstacle,35
SyBRKwoEe9GPdCDLFUtSGg,1993,-294,Obstacle,Obstacle,77
yniMIVaOvbrF21Hv797hZw,9259,-628,Obstacle,SurfaceProblem,56
YYphuyoJuOKXQ5SKeDNLZw,12642,-982,NoCurbRamp,SurfaceProblem,67
205wWrVrhCNrwIXS-jwFzA,9900,-514,Obstacle,CurbRamp,52
wtB7v2D15DOJxR55VVKpBQ,11690,-651,SurfaceProblem,SurfaceProblem,38
xFIzQk7txG3DXudeCF4aRQ,7470,-379,CurbRamp,CurbRamp,53
wGKBfGF5XtQoh3LdflMWIA,1008,-676,Obstacle,NoCurbRamp,50
lk95zcW0edw2sZCB1rMPTA,12710,-408,CurbRamp,CurbRamp,54
TrU4DYp3l-VZwSqYcDGq3A,4387,-695,CurbRamp,SurfaceProblem,52
fG8IfgmxxrrbToWxg1L50Q,12756,-19,Obstacle,Obstacle,52
lO6AMvS9-cBy5JuBM4SMEw,3486,-351,CurbRamp,SurfaceProblem,60
4gQPTKnVWtTrdCF7HXPANg,9449,-324,CurbRamp,Obstacle,51
phssnN9IGJPhjw6xKvvz-g,1077,-432,CurbRamp,Obstacle,50
7cwGTyrtV6yKUtHO6TmUew,12056,-797,NoCurbRamp,NoCurbRamp,59
b0eOV36e75GdxsTJKxhJzw,5509,-420,CurbRamp,Obstacle,50
gpU96yV3NI777PrVQ7U4kg,6631,-419,CurbRamp,CurbRamp,50
tHaeiW4iQaaeTM4gFFqLKw,2223,-207,Obstacle,Obstacle,56
