Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
28c3dc0f-a406-42d3-96ec-38ae550f9cf7	-33.25%	-33.25%	5.31%	5.31%	5.31%	5.31%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	4.0000
28e284b5-940c-4e50-bff4-7641896d197d	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	8.0000
2a3b6f0b-d825-4d9f-a705-0d6e9a27f6a8	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
2a783c12-395c-4cdc-b954-b5a225771360	-267.95%	-267.95%	29.66%	29.66%	29.66%	29.66%	N/A	N/A	N/A	N/A	N/A	N/A	284.0000	12.0000
2aa9bfdf-3afd-4ad8-a63b-e6b87411d842	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
2b0da548-ba7c-4a21-8da9-cdcef60e0e6f	44.60%	44.60%	65.66%	65.66%	65.66%	65.66%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	27.0000
2b4c75f8-62b9-4497-87ae-cc186c0efa21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	23.0000	2.0000
2c7e2ae8-554a-46cd-bf96-50b7359043b5	59.77%	59.77%	81.66%	81.66%	81.66%	81.66%	N/A	N/A	N/A	N/A	N/A	N/A	74.0000	57.0000
2f18038b-a3e0-4d41-a1a8-ab267e4fea5c	46.43%	46.43%	63.40%	63.40%	63.40%	63.40%	N/A	N/A	N/A	N/A	N/A	N/A	210.0000	69.0000
2fcbccac-e6d9-479b-9521-afd0c1290fa4	47.19%	47.19%	74.61%	74.61%	74.61%	74.61%	N/A	N/A	N/A	N/A	N/A	N/A	61.0000	43.0000
3298f03f-a875-4cfa-8c39-0237d55e7014	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
32f30b90-f995-45bb-bdc3-c53362cbf4cc	54.59%	54.59%	81.43%	81.43%	81.43%	81.43%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	58.0000
33ad919f-a81f-4aa1-9a0c-ba791aa4b4f5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
33b6e6ca-5d9f-4c99-991c-1ed8d9ea22aa	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.0000	3.0000
33d26d1d-292d-4438-b29d-da70d77086ce	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
34db2dfd-3997-4555-8e47-e44aef680755	-247.95%	-247.95%	30.96%	30.96%	30.96%	30.96%	N/A	N/A	N/A	N/A	N/A	N/A	106.0000	2.0000
35419acc-e82c-4db7-a745-1c3ce6ee6076	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
35872a6c-d171-40d9-8e66-9242b835ea71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.0000	5.0000
365a14c8-9d18-4748-8177-2d8f41c6cb1c	8.00%	8.00%	52.27%	52.27%	52.27%	52.27%	N/A	N/A	N/A	N/A	N/A	N/A	37.0000	11.0000
370a21bc-0e98-4c25-a458-2b71080d7586	62.62%	62.62%	77.07%	77.07%	77.07%	77.07%	N/A	N/A	N/A	N/A	N/A	N/A	72.0000	48.0000
3893c30a-9df6-427f-af11-217a76f77b1f	-263.25%	-263.25%	4.88%	4.88%	4.88%	4.88%	N/A	N/A	N/A	N/A	N/A	N/A	30.0000	0.0000
