Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
d76b0c4f-573c-42d2-851f-959cfbc3976b	20.38%	20.38%	59.00%	59.00%	59.00%	59.00%	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	8.0000
d77492f7-8601-4b96-b577-691d436e4664	-0.69%	-0.69%	15.38%	15.38%	15.38%	15.38%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
d9aaf6f1-beb2-4105-ac93-c9a259246741	-12.62%	-12.62%	23.91%	23.91%	23.91%	23.91%	N/A	N/A	N/A	N/A	N/A	N/A	26.0000	20.0000
da016cec-d8de-459f-922c-fd224c2ebce4	57.64%	57.64%	75.30%	75.30%	75.30%	75.30%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	49.0000
dada416e-535f-4bb3-a213-172a8a94b581	54.92%	54.92%	73.28%	73.28%	73.28%	73.28%	N/A	N/A	N/A	N/A	N/A	N/A	86.0000	44.0000
db8f995e-2014-442d-a047-a25be2355550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50.0000	0.0000
dce5984b-25d9-48f9-b8b7-640202b3be3c	-519.03%	-519.03%	44.82%	44.82%	44.82%	44.82%	N/A	N/A	N/A	N/A	N/A	N/A	393.0000	8.0000
ddf9198d-1ad6-439e-8a1d-bf14221e8ef0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.0000	7.0000
de18d421-1521-4216-bb25-db5807f5ea9d	-581.21%	-581.21%	18.95%	18.95%	18.95%	18.95%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	1.0000
e0553cc7-41e3-48d2-8a78-5e4d5a5735dc	-1048.40%	-1048.40%	20.84%	20.84%	20.84%	20.84%	N/A	N/A	N/A	N/A	N/A	N/A	64.0000	0.0000
e0b3316c-6d15-48ab-9bd3-3eceafc14059	-102.75%	-102.75%	53.87%	53.87%	53.87%	53.87%	N/A	N/A	N/A	N/A	N/A	N/A	500.0000	17.0000
e0ee0844-0731-4302-9ea2-a27c4f74b241	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
e13a1f58-dac2-4ac4-8ea3-6bdb457db255	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.0000	1.0000
e272c3a0-0ecf-4291-8854-88ef9e3b9f4a	38.02%	38.02%	76.60%	76.60%	76.60%	76.60%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	56.0000
e2e0e22c-0d82-46da-a6e7-d726ae127585	-52.70%	-52.70%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	4.0000	1.0000
e3eeb489-2c5a-4c34-8222-909e80af53a6	-42.00%	-42.00%	30.29%	30.29%	30.29%	30.29%	N/A	N/A	N/A	N/A	N/A	N/A	18.0000	8.0000
e47eb0d3-bb35-488e-aadc-81b3d28ff82a	-27.63%	-27.63%	39.61%	39.61%	39.61%	39.61%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	5.0000
e5540dc7-88a6-4165-a8b5-82693ba3cbfa	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	8.0000
e5d90449-cebd-475d-8335-ab3aeda30917	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
e5e67144-23e2-4f43-9b95-121a135d04c5	2.88%	2.88%	30.84%	30.84%	30.84%	30.84%	N/A	N/A	N/A	N/A	N/A	N/A	15.0000	9.0000
e77d2f59-a6bb-443e-81c4-0c70bf52230d	39.17%	39.17%	69.13%	69.13%	69.13%	69.13%	N/A	N/A	N/A	N/A	N/A	N/A	76.0000	59.0000
e8503432-ad52-4e7f-948e-6d9e8005839c	19.57%	19.57%	67.76%	67.76%	67.76%	67.76%	N/A	N/A	N/A	N/A	N/A	N/A	49.0000	31.0000
e88e904d-551b-4fbd-a062-ead0a1d900f8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
e8a2fcfd-a89c-4c77-a59d-03a41ad41843	55.27%	55.27%	68.81%	68.81%	68.81%	68.81%	N/A	N/A	N/A	N/A	N/A	N/A	171.0000	99.0000
e8bc0049-cc2a-43f7-bad5-70ecd17abbb0	-106.61%	-106.61%	5.42%	5.42%	5.42%	5.42%	N/A	N/A	N/A	N/A	N/A	N/A	68.0000	1.0000
e8c0824e-ab20-4659-8ce0-108d1ccd2537	52.13%	52.13%	72.15%	72.15%	72.15%	72.15%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	32.0000
e9452557-9812-4b76-a4e5-a38d6115abf0	43.32%	43.32%	61.23%	61.23%	61.23%	61.23%	N/A	N/A	N/A	N/A	N/A	N/A	48.0000	8.0000
e9e3a214-c733-41a9-989e-51b0ae705626	37.36%	37.36%	67.75%	67.75%	67.75%	67.75%	N/A	N/A	N/A	N/A	N/A	N/A	66.0000	45.0000
eb3a0b8f-92d8-4e1e-8f6a-e32c2c0e382e	-37.38%	-37.38%	30.86%	30.86%	30.86%	30.86%	N/A	N/A	N/A	N/A	N/A	N/A	16.0000	2.0000
eb95cad7-4058-43e3-a4d1-0b2f9a689f8c	51.79%	51.79%	72.18%	72.18%	72.18%	72.18%	N/A	N/A	N/A	N/A	N/A	N/A	196.0000	125.0000
ec11c059-2d2a-4d12-9ea2-d2af26a2a711	-118.56%	-118.56%	35.01%	35.01%	35.01%	35.01%	N/A	N/A	N/A	N/A	N/A	N/A	19.0000	5.0000
ef7bbb66-5237-4dd0-9f83-d4df61014518	-87.00%	-87.00%	44.81%	44.81%	44.81%	44.81%	N/A	N/A	N/A	N/A	N/A	N/A	43.0000	37.0000
f080751a-c295-4e43-9dc3-ef9a0ce6d89a	52.12%	52.12%	73.44%	73.44%	73.44%	73.44%	58.87%	58.87%	76.40%	76.40%	76.40%	76.40%	261.0000	145.0000
f17699f8-2b99-4867-b756-eb35998c62e4	57.93%	57.93%	73.07%	73.07%	73.07%	73.07%	N/A	N/A	N/A	N/A	N/A	N/A	55.0000	10.0000
f2036c9d-d6d8-46ee-a986-3c0f1fe7f831	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
f2a086ae-0fcf-4317-8c78-0695ca2a0eeb	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
f35c4aaf-e263-4b17-923b-1cee1f225784	-460.51%	-460.51%	32.77%	32.77%	32.77%	32.77%	N/A	N/A	N/A	N/A	N/A	N/A	80.0000	6.0000
f3933029-8209-4be7-9bb9-246e6c76ad22	-1.17%	-1.17%	24.63%	24.63%	24.63%	24.63%	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	17.0000
f480bf91-e311-4e8e-8173-09702d971c08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	14.0000
f49eb660-1e7b-449b-b874-9742e0eb0651	68.67%	68.67%	79.02%	79.02%	79.02%	79.02%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	50.0000
f4e4d073-2ffe-48c2-baaa-4d1ac0f5b8af	23.41%	23.41%	64.08%	64.08%	64.08%	64.08%	N/A	N/A	N/A	N/A	N/A	N/A	130.0000	83.0000
f5bba310-3930-4021-a9ca-5a4e00bb39b5	-43.16%	-43.16%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
f80f7539-3f93-4e05-808b-9dfed7db9e71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.0000	5.0000
f831977e-f12a-4261-8e64-a5ca2271af83	47.19%	47.19%	71.70%	71.70%	71.70%	71.70%	N/A	N/A	N/A	N/A	N/A	N/A	60.0000	42.0000
f8f26754-59fb-4b11-b90f-cad6bf3690eb	68.38%	68.38%	84.53%	84.53%	84.53%	84.53%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	59.0000
f90f76c9-73a5-40d1-90cf-565f48be39b9	-337.89%	-337.89%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	65.0000	0.0000
fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	10.0000
fc4c252d-b4c4-4c53-8ee1-08ba39180240	-68.92%	-68.92%	41.47%	41.47%	41.47%	41.47%	N/A	N/A	N/A	N/A	N/A	N/A	28.0000	4.0000
fc62438f-f730-410d-a67e-19bf68144794	-17.41%	-17.41%	7.17%	7.17%	7.17%	7.17%	N/A	N/A	N/A	N/A	N/A	N/A	13.0000	10.0000
fe25c5f3-9889-4b7c-aeaf-aab608ca0f4c	52.56%	52.56%	63.09%	63.09%	63.09%	63.09%	N/A	N/A	N/A	N/A	N/A	N/A	40.0000	15.0000
ff2643db-83b8-435e-a739-3f08d4a18302	-34.73%	-34.73%	15.83%	15.83%	15.83%	15.83%	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	5.0000
